Unnamed: 0,id,A,B,C,D,lab
516,516,a2,"[20.0,30.0]",c1,d2,l3
517,517,a2,"[10.0,20.0)",c2,d3,l1
518,518,a2,"[20.0,30.0]",c1,d2,l2
519,519,a2,"[0.0,10.0)",c2,d2,l3
520,520,a2,"[20.0,30.0]",c3,d2,l2
521,521,a2,"[20.0,30.0]",c1,d3,l1
522,522,a1,"[10.0,20.0)",c3,d1,l2
523,523,a1,"[20.0,30.0]",c2,d3,l3
524,524,a2,"[10.0,20.0)",c1,d1,l2
525,525,a1,"[0.0,10.0)",c1,d2,l2
526,526,a1,"[20.0,30.0]",c3,d1,l3
527,527,a1,"[0.0,10.0)",c2,d3,l1
528,528,a2,"[0.0,10.0)",c2,d2,l1
529,529,a2,"[10.0,20.0)",c3,d1,l2
530,530,a1,"[0.0,10.0)",c1,d1,l2
531,531,a1,"[0.0,10.0)",c3,d2,l3
532,532,a1,"[0.0,10.0)",c1,d1,l3
533,533,a1,"[0.0,10.0)",c1,d3,l3
534,534,a1,"[20.0,30.0]",c3,d2,l2
535,535,a2,"[0.0,10.0)",c1,d4,l2
536,536,a1,"[0.0,10.0)",c2,d4,l2
537,537,a2,"[10.0,20.0)",c2,d3,l2
538,538,a1,"[0.0,10.0)",c3,d1,l3
539,539,a1,"[0.0,10.0)",c3,d3,l2
540,540,a2,"[20.0,30.0]",c3,d1,l2
541,541,a1,"[10.0,20.0)",c3,d1,l3
542,542,a1,"[0.0,10.0)",c2,d3,l1
543,543,a1,"[0.0,10.0)",c3,d2,l3
544,544,a2,"[20.0,30.0]",c2,d2,l1
545,545,a1,"[10.0,20.0)",c2,d4,l3
546,546,a2,"[0.0,10.0)",c1,d4,l1
547,547,a2,"[0.0,10.0)",c1,d3,l1
548,548,a1,"[20.0,30.0]",c2,d1,l1
549,549,a2,"[0.0,10.0)",c1,d4,l3
550,550,a1,"[20.0,30.0]",c3,d1,l3
551,551,a2,"[20.0,30.0]",c1,d3,l3
552,552,a1,"[0.0,10.0)",c3,d4,l3
553,553,a1,"[0.0,10.0)",c3,d3,l2
554,554,a1,"[20.0,30.0]",c2,d3,l3
555,555,a1,"[0.0,10.0)",c1,d1,l2
556,556,a1,"[20.0,30.0]",c1,d4,l2
557,557,a2,"[10.0,20.0)",c2,d3,l3
558,558,a1,"[0.0,10.0)",c1,d1,l2
559,559,a2,"[10.0,20.0)",c3,d1,l2
560,560,a1,"[0.0,10.0)",c1,d2,l2
561,561,a1,"[0.0,10.0)",c2,d3,l1
562,562,a2,"[10.0,20.0)",c2,d4,l2
563,563,a1,"[0.0,10.0)",c2,d2,l2
564,564,a1,"[20.0,30.0]",c3,d2,l2
565,565,a2,"[20.0,30.0]",c2,d3,l2
566,566,a1,"[10.0,20.0)",c1,d4,l2
567,567,a1,"[20.0,30.0]",c1,d1,l3
568,568,a1,"[20.0,30.0]",c1,d4,l1
569,569,a2,"[0.0,10.0)",c1,d2,l1
570,570,a1,"[10.0,20.0)",c1,d4,l2
571,571,a1,"[20.0,30.0]",c2,d1,l1
572,572,a1,"[0.0,10.0)",c1,d4,l1
573,573,a1,"[10.0,20.0)",c2,d2,l2
574,574,a1,"[20.0,30.0]",c1,d2,l1
575,575,a1,"[20.0,30.0]",c1,d4,l1
576,576,a2,"[0.0,10.0)",c3,d1,l3
577,577,a2,"[0.0,10.0)",c1,d1,l1
578,578,a2,"[0.0,10.0)",c1,d1,l1
579,579,a1,"[20.0,30.0]",c3,d4,l3
580,580,a2,"[20.0,30.0]",c2,d4,l2
581,581,a1,"[20.0,30.0]",c1,d1,l1
582,582,a1,"[0.0,10.0)",c3,d1,l3
583,583,a1,"[20.0,30.0]",c1,d1,l3
584,584,a2,"[0.0,10.0)",c2,d3,l1
585,585,a2,"[10.0,20.0)",c3,d3,l3
586,586,a1,"[20.0,30.0]",c3,d2,l1
587,587,a1,"[0.0,10.0)",c1,d2,l2
588,588,a2,"[10.0,20.0)",c3,d1,l3
589,589,a1,"[0.0,10.0)",c2,d3,l1
590,590,a1,"[20.0,30.0]",c1,d2,l3
591,591,a2,"[20.0,30.0]",c1,d2,l2
592,592,a2,"[20.0,30.0]",c2,d4,l3
593,593,a2,"[0.0,10.0)",c1,d3,l2
594,594,a2,"[20.0,30.0]",c2,d2,l1
595,595,a1,"[10.0,20.0)",c1,d3,l2
596,596,a1,"[0.0,10.0)",c2,d4,l3
597,597,a1,"[20.0,30.0]",c1,d4,l1
598,598,a1,"[0.0,10.0)",c3,d1,l1
599,599,a1,"[10.0,20.0)",c3,d2,l3
600,600,a2,"[0.0,10.0)",c3,d2,l2
601,601,a2,"[20.0,30.0]",c3,d1,l1
602,602,a1,"[10.0,20.0)",c2,d1,l1
603,603,a2,"[0.0,10.0)",c3,d2,l2
604,604,a1,"[0.0,10.0)",c2,d3,l2
605,605,a1,"[0.0,10.0)",c2,d1,l2
606,606,a1,"[0.0,10.0)",c3,d2,l1
607,607,a2,"[20.0,30.0]",c3,d4,l2
608,608,a2,"[0.0,10.0)",c2,d3,l1
609,609,a1,"[10.0,20.0)",c1,d1,l1
610,610,a2,"[10.0,20.0)",c1,d4,l3
611,611,a1,"[0.0,10.0)",c3,d1,l3
612,612,a2,"[10.0,20.0)",c3,d4,l3
613,613,a1,"[20.0,30.0]",c2,d1,l3
614,614,a2,"[20.0,30.0]",c3,d2,l2
615,615,a1,"[0.0,10.0)",c3,d3,l3
616,616,a2,"[10.0,20.0)",c3,d3,l1
617,617,a1,"[0.0,10.0)",c2,d2,l2
618,618,a2,"[10.0,20.0)",c3,d1,l2
619,619,a2,"[10.0,20.0)",c3,d4,l1
620,620,a2,"[20.0,30.0]",c2,d4,l1
621,621,a1,"[0.0,10.0)",c1,d3,l1
622,622,a1,"[10.0,20.0)",c3,d4,l2
623,623,a2,"[0.0,10.0)",c3,d1,l3
624,624,a2,"[20.0,30.0]",c3,d2,l1
625,625,a1,"[20.0,30.0]",c2,d3,l1
626,626,a2,"[0.0,10.0)",c2,d2,l1
627,627,a1,"[20.0,30.0]",c3,d2,l3
628,628,a2,"[20.0,30.0]",c2,d4,l2
629,629,a2,"[0.0,10.0)",c2,d2,l1
630,630,a1,"[0.0,10.0)",c2,d1,l2
631,631,a1,"[20.0,30.0]",c2,d4,l3
632,632,a2,"[0.0,10.0)",c3,d4,l2
633,633,a1,"[0.0,10.0)",c1,d2,l1
634,634,a2,"[10.0,20.0)",c2,d2,l2
635,635,a2,"[10.0,20.0)",c1,d1,l2
636,636,a2,"[20.0,30.0]",c2,d4,l2
637,637,a1,"[20.0,30.0]",c3,d1,l2
638,638,a2,"[0.0,10.0)",c2,d1,l1
639,639,a1,"[10.0,20.0)",c1,d2,l3
640,640,a1,"[0.0,10.0)",c1,d4,l3
641,641,a1,"[10.0,20.0)",c1,d4,l2
642,642,a1,"[10.0,20.0)",c2,d1,l3
643,643,a1,"[20.0,30.0]",c3,d3,l1
644,644,a2,"[20.0,30.0]",c3,d2,l2
645,645,a1,"[0.0,10.0)",c3,d2,l1
646,646,a1,"[10.0,20.0)",c2,d4,l1
647,647,a2,"[0.0,10.0)",c3,d3,l3
648,648,a2,"[20.0,30.0]",c2,d2,l1
649,649,a1,"[20.0,30.0]",c1,d3,l1
650,650,a2,"[20.0,30.0]",c3,d2,l2
651,651,a2,"[20.0,30.0]",c3,d1,l1
652,652,a1,"[20.0,30.0]",c1,d4,l3
653,653,a1,"[10.0,20.0)",c2,d4,l1
654,654,a1,"[20.0,30.0]",c1,d4,l3
655,655,a1,"[0.0,10.0)",c3,d2,l3
656,656,a1,"[10.0,20.0)",c2,d4,l3
657,657,a2,"[20.0,30.0]",c3,d2,l3
658,658,a2,"[0.0,10.0)",c1,d4,l2
659,659,a2,"[10.0,20.0)",c1,d3,l1
660,660,a1,"[20.0,30.0]",c3,d4,l2
661,661,a2,"[10.0,20.0)",c1,d4,l1
662,662,a2,"[20.0,30.0]",c2,d2,l2
663,663,a1,"[0.0,10.0)",c1,d1,l1
664,664,a2,"[20.0,30.0]",c1,d4,l1
665,665,a2,"[0.0,10.0)",c3,d4,l1
666,666,a1,"[10.0,20.0)",c1,d4,l1
667,667,a1,"[20.0,30.0]",c1,d1,l1
668,668,a2,"[20.0,30.0]",c1,d4,l2
669,669,a2,"[20.0,30.0]",c2,d2,l3
670,670,a2,"[0.0,10.0)",c1,d2,l1
671,671,a1,"[0.0,10.0)",c3,d1,l3
672,672,a2,"[20.0,30.0]",c1,d2,l2
673,673,a1,"[20.0,30.0]",c2,d3,l3
674,674,a2,"[10.0,20.0)",c1,d4,l2
675,675,a1,"[0.0,10.0)",c2,d3,l3
676,676,a2,"[20.0,30.0]",c2,d2,l3
677,677,a2,"[10.0,20.0)",c1,d1,l3
678,678,a2,"[20.0,30.0]",c2,d3,l1
679,679,a1,"[20.0,30.0]",c1,d4,l3
680,680,a2,"[10.0,20.0)",c2,d1,l2
681,681,a1,"[10.0,20.0)",c1,d4,l2
682,682,a1,"[20.0,30.0]",c2,d3,l3
683,683,a1,"[10.0,20.0)",c2,d3,l2
684,684,a2,"[20.0,30.0]",c2,d1,l1
685,685,a2,"[0.0,10.0)",c2,d2,l3
686,686,a1,"[20.0,30.0]",c1,d2,l3
687,687,a2,"[20.0,30.0]",c1,d4,l1
688,688,a1,"[10.0,20.0)",c3,d2,l1
689,689,a1,"[0.0,10.0)",c2,d4,l2
690,690,a2,"[0.0,10.0)",c1,d2,l2
691,691,a1,"[0.0,10.0)",c2,d3,l1
692,692,a2,"[0.0,10.0)",c3,d3,l3
693,693,a2,"[20.0,30.0]",c3,d2,l3
694,694,a2,"[20.0,30.0]",c2,d4,l1
695,695,a1,"[10.0,20.0)",c2,d2,l3
696,696,a1,"[0.0,10.0)",c2,d4,l3
697,697,a2,"[10.0,20.0)",c3,d4,l1
698,698,a2,"[20.0,30.0]",c2,d1,l3
699,699,a2,"[20.0,30.0]",c1,d4,l1
700,700,a2,"[20.0,30.0]",c1,d1,l2
701,701,a1,"[20.0,30.0]",c1,d4,l3
702,702,a2,"[10.0,20.0)",c1,d4,l3
703,703,a2,"[10.0,20.0)",c2,d1,l1
704,704,a1,"[20.0,30.0]",c3,d3,l3
705,705,a1,"[0.0,10.0)",c2,d3,l3
706,706,a1,"[10.0,20.0)",c3,d1,l3
707,707,a2,"[10.0,20.0)",c3,d2,l3
708,708,a1,"[10.0,20.0)",c3,d4,l3
709,709,a2,"[0.0,10.0)",c3,d1,l3
710,710,a1,"[0.0,10.0)",c2,d2,l1
711,711,a1,"[0.0,10.0)",c3,d4,l3
712,712,a1,"[10.0,20.0)",c1,d1,l3
713,713,a2,"[20.0,30.0]",c2,d2,l1
714,714,a1,"[20.0,30.0]",c1,d1,l1
715,715,a1,"[10.0,20.0)",c1,d3,l3
716,716,a1,"[10.0,20.0)",c2,d3,l1
717,717,a2,"[0.0,10.0)",c3,d1,l3
718,718,a1,"[20.0,30.0]",c1,d3,l2
719,719,a2,"[20.0,30.0]",c2,d3,l3
720,720,a1,"[20.0,30.0]",c2,d1,l1
721,721,a2,"[10.0,20.0)",c1,d2,l3
722,722,a2,"[10.0,20.0)",c2,d2,l1
723,723,a1,"[20.0,30.0]",c2,d1,l1
724,724,a1,"[0.0,10.0)",c3,d4,l1
725,725,a2,"[20.0,30.0]",c1,d1,l1
726,726,a1,"[20.0,30.0]",c2,d2,l2
727,727,a1,"[10.0,20.0)",c1,d3,l1
728,728,a1,"[0.0,10.0)",c1,d3,l3
729,729,a2,"[20.0,30.0]",c3,d1,l2
730,730,a1,"[0.0,10.0)",c2,d4,l1
731,731,a1,"[0.0,10.0)",c2,d2,l1
732,732,a1,"[0.0,10.0)",c1,d4,l2
733,733,a1,"[0.0,10.0)",c3,d1,l3
734,734,a2,"[20.0,30.0]",c2,d1,l2
735,735,a2,"[20.0,30.0]",c1,d1,l1
736,736,a2,"[10.0,20.0)",c1,d4,l3
737,737,a1,"[20.0,30.0]",c2,d4,l1
738,738,a1,"[10.0,20.0)",c3,d4,l3
739,739,a2,"[20.0,30.0]",c1,d4,l2
740,740,a1,"[10.0,20.0)",c1,d1,l2
741,741,a1,"[10.0,20.0)",c2,d1,l2
742,742,a1,"[20.0,30.0]",c2,d3,l3
743,743,a2,"[0.0,10.0)",c2,d1,l2
744,744,a1,"[0.0,10.0)",c2,d3,l3
745,745,a2,"[0.0,10.0)",c1,d1,l3
746,746,a2,"[20.0,30.0]",c3,d4,l1
747,747,a1,"[0.0,10.0)",c3,d1,l1
748,748,a1,"[0.0,10.0)",c2,d4,l1
749,749,a1,"[0.0,10.0)",c2,d1,l1
750,750,a1,"[10.0,20.0)",c1,d4,l3
751,751,a2,"[10.0,20.0)",c2,d1,l1
752,752,a1,"[10.0,20.0)",c3,d3,l1
753,753,a1,"[20.0,30.0]",c2,d3,l1
754,754,a2,"[10.0,20.0)",c1,d2,l2
755,755,a1,"[20.0,30.0]",c2,d2,l3
756,756,a1,"[20.0,30.0]",c1,d1,l1
757,757,a2,"[0.0,10.0)",c1,d2,l3
758,758,a2,"[10.0,20.0)",c2,d2,l2
759,759,a2,"[0.0,10.0)",c2,d1,l3
760,760,a1,"[10.0,20.0)",c1,d2,l3
761,761,a1,"[10.0,20.0)",c3,d4,l3
762,762,a2,"[10.0,20.0)",c3,d1,l3
763,763,a1,"[0.0,10.0)",c1,d3,l1
764,764,a2,"[0.0,10.0)",c2,d2,l3
765,765,a1,"[10.0,20.0)",c1,d3,l1
766,766,a2,"[10.0,20.0)",c1,d1,l1
767,767,a2,"[0.0,10.0)",c3,d2,l1
768,768,a1,"[0.0,10.0)",c3,d1,l2
769,769,a1,"[20.0,30.0]",c3,d2,l3
770,770,a2,"[0.0,10.0)",c1,d4,l2
771,771,a1,"[10.0,20.0)",c3,d3,l2
772,772,a1,"[10.0,20.0)",c1,d3,l2
773,773,a1,"[20.0,30.0]",c2,d3,l3
774,774,a2,"[10.0,20.0)",c1,d4,l1
775,775,a2,"[0.0,10.0)",c3,d3,l3
776,776,a1,"[20.0,30.0]",c1,d3,l2
777,777,a2,"[10.0,20.0)",c3,d4,l3
778,778,a2,"[10.0,20.0)",c1,d1,l1
779,779,a1,"[0.0,10.0)",c2,d3,l1
780,780,a2,"[10.0,20.0)",c3,d1,l2
781,781,a2,"[10.0,20.0)",c3,d1,l3
782,782,a2,"[20.0,30.0]",c3,d2,l1
783,783,a2,"[20.0,30.0]",c2,d2,l2
784,784,a2,"[20.0,30.0]",c2,d1,l1
785,785,a2,"[10.0,20.0)",c2,d3,l2
786,786,a1,"[0.0,10.0)",c3,d3,l3
787,787,a2,"[0.0,10.0)",c3,d1,l2
788,788,a1,"[20.0,30.0]",c2,d3,l1
789,789,a2,"[20.0,30.0]",c3,d3,l1
790,790,a1,"[20.0,30.0]",c1,d3,l1
791,791,a1,"[20.0,30.0]",c1,d1,l1
792,792,a2,"[10.0,20.0)",c1,d4,l3
793,793,a1,"[0.0,10.0)",c1,d4,l2
794,794,a1,"[20.0,30.0]",c2,d1,l1
795,795,a1,"[0.0,10.0)",c2,d2,l2
796,796,a1,"[20.0,30.0]",c2,d1,l2
797,797,a2,"[0.0,10.0)",c2,d2,l3
798,798,a2,"[0.0,10.0)",c3,d4,l1
799,799,a1,"[0.0,10.0)",c1,d4,l1
800,800,a2,"[10.0,20.0)",c3,d3,l1
801,801,a1,"[10.0,20.0)",c3,d4,l1
802,802,a1,"[20.0,30.0]",c1,d4,l2
803,803,a1,"[0.0,10.0)",c3,d4,l2
804,804,a2,"[0.0,10.0)",c2,d3,l2
805,805,a2,"[20.0,30.0]",c3,d2,l1
806,806,a2,"[10.0,20.0)",c1,d4,l3
807,807,a1,"[0.0,10.0)",c3,d3,l1
808,808,a2,"[0.0,10.0)",c1,d2,l1
809,809,a2,"[20.0,30.0]",c3,d4,l1
810,810,a1,"[10.0,20.0)",c3,d2,l2
811,811,a2,"[10.0,20.0)",c1,d4,l2
812,812,a1,"[0.0,10.0)",c2,d4,l2
813,813,a2,"[0.0,10.0)",c3,d4,l1
814,814,a1,"[0.0,10.0)",c1,d4,l2
815,815,a1,"[20.0,30.0]",c1,d3,l1
816,816,a1,"[0.0,10.0)",c2,d4,l3
817,817,a2,"[10.0,20.0)",c3,d2,l2
818,818,a1,"[10.0,20.0)",c2,d2,l1
819,819,a2,"[10.0,20.0)",c3,d3,l1
820,820,a2,"[0.0,10.0)",c2,d2,l2
821,821,a2,"[10.0,20.0)",c2,d2,l1
822,822,a2,"[10.0,20.0)",c2,d2,l3
823,823,a1,"[10.0,20.0)",c3,d2,l2
824,824,a2,"[0.0,10.0)",c2,d1,l2
825,825,a1,"[0.0,10.0)",c3,d3,l1
826,826,a2,"[0.0,10.0)",c3,d2,l1
827,827,a2,"[20.0,30.0]",c3,d1,l2
828,828,a1,"[20.0,30.0]",c1,d1,l3
829,829,a2,"[0.0,10.0)",c1,d2,l3
830,830,a2,"[0.0,10.0)",c2,d3,l1
831,831,a2,"[20.0,30.0]",c2,d3,l2
832,832,a2,"[10.0,20.0)",c3,d1,l1
833,833,a2,"[10.0,20.0)",c3,d4,l1
834,834,a2,"[20.0,30.0]",c3,d1,l1
835,835,a2,"[0.0,10.0)",c1,d3,l3
836,836,a2,"[0.0,10.0)",c1,d1,l3
837,837,a1,"[10.0,20.0)",c3,d3,l2
838,838,a1,"[20.0,30.0]",c2,d1,l2
839,839,a2,"[20.0,30.0]",c3,d1,l3
840,840,a1,"[10.0,20.0)",c3,d2,l2
841,841,a2,"[20.0,30.0]",c3,d4,l3
842,842,a2,"[0.0,10.0)",c1,d2,l1
843,843,a1,"[0.0,10.0)",c1,d3,l1
844,844,a1,"[10.0,20.0)",c2,d3,l2
845,845,a1,"[10.0,20.0)",c3,d3,l3
846,846,a2,"[20.0,30.0]",c2,d3,l2
847,847,a2,"[20.0,30.0]",c3,d3,l3
848,848,a1,"[10.0,20.0)",c3,d1,l2
849,849,a2,"[20.0,30.0]",c3,d1,l2
850,850,a2,"[20.0,30.0]",c1,d2,l3
851,851,a2,"[20.0,30.0]",c2,d3,l1
852,852,a2,"[0.0,10.0)",c1,d3,l2
853,853,a1,"[10.0,20.0)",c1,d1,l2
854,854,a2,"[10.0,20.0)",c1,d3,l2
855,855,a1,"[10.0,20.0)",c3,d3,l3
856,856,a1,"[10.0,20.0)",c2,d2,l3
857,857,a1,"[20.0,30.0]",c1,d3,l2
858,858,a2,"[0.0,10.0)",c2,d3,l3
859,859,a1,"[10.0,20.0)",c3,d1,l3
860,860,a2,"[0.0,10.0)",c1,d3,l1
861,861,a2,"[0.0,10.0)",c2,d3,l1
862,862,a1,"[0.0,10.0)",c3,d1,l3
863,863,a1,"[0.0,10.0)",c1,d4,l1
864,864,a2,"[10.0,20.0)",c2,d2,l3
865,865,a2,"[20.0,30.0]",c3,d4,l3
866,866,a2,"[10.0,20.0)",c1,d1,l3
867,867,a2,"[20.0,30.0]",c2,d1,l1
868,868,a1,"[10.0,20.0)",c3,d4,l3
869,869,a2,"[10.0,20.0)",c1,d4,l1
870,870,a1,"[20.0,30.0]",c2,d2,l3
871,871,a1,"[10.0,20.0)",c2,d3,l3
872,872,a1,"[10.0,20.0)",c2,d1,l1
873,873,a1,"[10.0,20.0)",c2,d3,l1
874,874,a1,"[10.0,20.0)",c3,d2,l3
875,875,a1,"[20.0,30.0]",c2,d1,l1
876,876,a2,"[20.0,30.0]",c3,d2,l3
877,877,a1,"[10.0,20.0)",c3,d1,l2
878,878,a1,"[20.0,30.0]",c1,d2,l2
879,879,a1,"[10.0,20.0)",c2,d1,l1
880,880,a1,"[10.0,20.0)",c2,d1,l1
881,881,a1,"[0.0,10.0)",c2,d4,l1
882,882,a2,"[20.0,30.0]",c2,d2,l1
883,883,a1,"[0.0,10.0)",c3,d3,l3
884,884,a2,"[20.0,30.0]",c2,d2,l2
885,885,a2,"[0.0,10.0)",c1,d3,l1
886,886,a1,"[20.0,30.0]",c2,d2,l1
887,887,a1,"[0.0,10.0)",c3,d2,l2
888,888,a2,"[20.0,30.0]",c2,d1,l3
889,889,a1,"[10.0,20.0)",c2,d3,l3
890,890,a1,"[0.0,10.0)",c1,d3,l3
891,891,a2,"[10.0,20.0)",c3,d1,l1
892,892,a1,"[20.0,30.0]",c2,d2,l1
893,893,a1,"[10.0,20.0)",c1,d4,l2
894,894,a2,"[10.0,20.0)",c2,d3,l3
895,895,a1,"[0.0,10.0)",c1,d3,l1
896,896,a1,"[20.0,30.0]",c3,d2,l1
897,897,a2,"[10.0,20.0)",c3,d3,l3
898,898,a1,"[20.0,30.0]",c1,d4,l2
899,899,a1,"[20.0,30.0]",c2,d2,l3
900,900,a2,"[20.0,30.0]",c1,d2,l2
901,901,a1,"[20.0,30.0]",c3,d2,l3
902,902,a2,"[20.0,30.0]",c3,d3,l1
903,903,a2,"[0.0,10.0)",c3,d4,l1
904,904,a1,"[20.0,30.0]",c3,d4,l1
905,905,a2,"[0.0,10.0)",c2,d3,l2
906,906,a1,"[0.0,10.0)",c1,d2,l2
907,907,a2,"[10.0,20.0)",c1,d2,l1
908,908,a2,"[0.0,10.0)",c2,d4,l1
909,909,a2,"[20.0,30.0]",c3,d3,l1
910,910,a1,"[0.0,10.0)",c2,d1,l2
911,911,a1,"[10.0,20.0)",c2,d4,l1
912,912,a1,"[0.0,10.0)",c1,d3,l2
913,913,a1,"[0.0,10.0)",c2,d2,l2
914,914,a1,"[10.0,20.0)",c2,d4,l2
915,915,a1,"[10.0,20.0)",c1,d1,l1
916,916,a1,"[0.0,10.0)",c2,d1,l1
917,917,a2,"[0.0,10.0)",c3,d4,l1
918,918,a1,"[0.0,10.0)",c3,d1,l3
919,919,a1,"[10.0,20.0)",c1,d2,l1
920,920,a1,"[0.0,10.0)",c1,d4,l2
921,921,a2,"[0.0,10.0)",c2,d2,l2
922,922,a2,"[0.0,10.0)",c1,d4,l1
923,923,a1,"[10.0,20.0)",c2,d2,l3
924,924,a2,"[0.0,10.0)",c3,d4,l3
925,925,a1,"[0.0,10.0)",c2,d3,l3
926,926,a2,"[0.0,10.0)",c2,d3,l1
927,927,a2,"[0.0,10.0)",c3,d3,l2
928,928,a1,"[0.0,10.0)",c2,d1,l1
929,929,a2,"[0.0,10.0)",c1,d2,l2
930,930,a2,"[10.0,20.0)",c2,d4,l2
931,931,a2,"[10.0,20.0)",c2,d3,l2
932,932,a2,"[0.0,10.0)",c1,d1,l2
933,933,a1,"[10.0,20.0)",c3,d3,l3
934,934,a1,"[0.0,10.0)",c3,d4,l1
935,935,a2,"[10.0,20.0)",c1,d2,l2
936,936,a2,"[0.0,10.0)",c2,d2,l1
937,937,a1,"[20.0,30.0]",c2,d3,l2
938,938,a2,"[20.0,30.0]",c3,d1,l2
939,939,a1,"[20.0,30.0]",c1,d2,l3
940,940,a2,"[0.0,10.0)",c1,d3,l1
941,941,a2,"[20.0,30.0]",c2,d3,l2
942,942,a1,"[10.0,20.0)",c2,d1,l3
943,943,a2,"[0.0,10.0)",c3,d2,l2
944,944,a2,"[20.0,30.0]",c3,d4,l2
945,945,a2,"[10.0,20.0)",c3,d1,l3
946,946,a2,"[0.0,10.0)",c3,d1,l1
947,947,a1,"[10.0,20.0)",c2,d4,l2
948,948,a2,"[10.0,20.0)",c1,d4,l3
949,949,a2,"[20.0,30.0]",c1,d1,l2
950,950,a1,"[20.0,30.0]",c2,d2,l1
951,951,a2,"[10.0,20.0)",c2,d1,l2
952,952,a2,"[0.0,10.0)",c3,d4,l1
953,953,a1,"[20.0,30.0]",c1,d4,l3
954,954,a2,"[0.0,10.0)",c1,d1,l3
955,955,a1,"[10.0,20.0)",c1,d3,l3
956,956,a1,"[20.0,30.0]",c3,d1,l3
957,957,a1,"[10.0,20.0)",c2,d1,l3
958,958,a2,"[10.0,20.0)",c1,d3,l3
959,959,a2,"[0.0,10.0)",c2,d4,l2
960,960,a2,"[0.0,10.0)",c1,d1,l2
961,961,a1,"[20.0,30.0]",c2,d3,l2
962,962,a2,"[20.0,30.0]",c1,d2,l2
963,963,a2,"[0.0,10.0)",c2,d4,l1
964,964,a1,"[20.0,30.0]",c1,d2,l2
965,965,a1,"[10.0,20.0)",c1,d1,l1
966,966,a1,"[0.0,10.0)",c2,d3,l3
967,967,a1,"[10.0,20.0)",c2,d4,l2
968,968,a1,"[10.0,20.0)",c1,d4,l3
969,969,a2,"[10.0,20.0)",c1,d3,l2
970,970,a1,"[10.0,20.0)",c1,d1,l3
971,971,a1,"[10.0,20.0)",c1,d2,l1
972,972,a2,"[0.0,10.0)",c3,d1,l1
973,973,a1,"[10.0,20.0)",c1,d4,l2
974,974,a1,"[20.0,30.0]",c3,d4,l2
975,975,a2,"[10.0,20.0)",c2,d2,l1
976,976,a2,"[10.0,20.0)",c2,d4,l3
977,977,a2,"[20.0,30.0]",c3,d2,l2
978,978,a2,"[20.0,30.0]",c1,d1,l1
979,979,a1,"[20.0,30.0]",c2,d3,l1
980,980,a2,"[20.0,30.0]",c1,d1,l2
981,981,a1,"[20.0,30.0]",c2,d4,l1
982,982,a1,"[0.0,10.0)",c1,d2,l1
983,983,a2,"[20.0,30.0]",c1,d3,l1
984,984,a2,"[10.0,20.0)",c2,d2,l1
985,985,a2,"[20.0,30.0]",c2,d1,l1
986,986,a1,"[20.0,30.0]",c1,d2,l1
987,987,a1,"[10.0,20.0)",c3,d1,l1
988,988,a1,"[0.0,10.0)",c1,d1,l1
989,989,a1,"[0.0,10.0)",c2,d1,l1
990,990,a1,"[10.0,20.0)",c3,d4,l1
991,991,a1,"[0.0,10.0)",c3,d1,l1
992,992,a1,"[0.0,10.0)",c2,d3,l1
993,993,a2,"[20.0,30.0]",c1,d1,l2
994,994,a2,"[10.0,20.0)",c3,d3,l1
995,995,a1,"[10.0,20.0)",c3,d1,l2
996,996,a1,"[10.0,20.0)",c2,d1,l1
997,997,a1,"[10.0,20.0)",c1,d4,l1
998,998,a1,"[20.0,30.0]",c1,d4,l1
999,999,a1,"[10.0,20.0)",c3,d1,l2
