,id,A,B,C,D,lab
735,735,a1,b2,c1,d4,l2
736,736,a1,b2,c1,d3,l2
737,737,a2,b1,c2,d3,l1
738,738,a1,b2,c3,d2,l1
739,739,a1,b2,c1,d3,l2
740,740,a2,b1,c1,d3,l2
741,741,a1,b2,c2,d3,l2
742,742,a2,b2,c3,d1,l2
743,743,a1,b2,c1,d4,l3
744,744,a2,b2,c2,d3,l2
745,745,a2,b2,c2,d3,l3
746,746,a2,b1,c2,d2,l3
747,747,a1,b1,c2,d2,l3
748,748,a1,b2,c2,d2,l2
749,749,a2,b1,c2,d1,l1
750,750,a1,b2,c1,d2,l2
751,751,a1,b2,c3,d3,l3
752,752,a2,b1,c2,d1,l2
753,753,a2,b1,c3,d1,l2
754,754,a1,b1,c2,d3,l1
755,755,a1,b1,c1,d3,l2
756,756,a2,b1,c2,d2,l1
757,757,a2,b1,c1,d1,l1
758,758,a1,b1,c1,d1,l1
759,759,a1,b2,c3,d1,l3
760,760,a1,b2,c2,d1,l3
761,761,a1,b1,c3,d4,l3
762,762,a2,b2,c2,d1,l3
763,763,a2,b2,c1,d1,l2
764,764,a1,b2,c3,d1,l1
765,765,a1,b1,c1,d4,l1
766,766,a2,b1,c1,d2,l3
767,767,a2,b2,c2,d2,l3
768,768,a1,b2,c3,d2,l2
769,769,a1,b1,c1,d3,l1
770,770,a2,b2,c3,d2,l2
771,771,a2,b1,c2,d3,l1
772,772,a1,b2,c1,d3,l1
773,773,a1,b2,c3,d2,l1
774,774,a2,b2,c2,d2,l3
775,775,a1,b1,c1,d2,l2
776,776,a2,b2,c1,d4,l2
777,777,a2,b1,c2,d3,l1
778,778,a1,b1,c1,d2,l3
779,779,a1,b2,c2,d4,l3
780,780,a2,b1,c3,d2,l2
781,781,a2,b1,c3,d3,l2
782,782,a2,b2,c1,d3,l1
783,783,a1,b1,c1,d4,l3
784,784,a1,b1,c2,d2,l1
785,785,a2,b2,c2,d2,l1
786,786,a2,b1,c3,d1,l3
787,787,a1,b1,c3,d1,l2
788,788,a2,b2,c3,d1,l1
789,789,a1,b1,c1,d4,l2
790,790,a2,b1,c3,d3,l1
791,791,a1,b1,c1,d3,l3
792,792,a1,b2,c2,d1,l3
793,793,a1,b1,c2,d2,l1
794,794,a2,b1,c2,d1,l1
795,795,a2,b2,c3,d3,l3
796,796,a2,b2,c2,d1,l2
797,797,a1,b2,c2,d2,l1
798,798,a2,b2,c1,d2,l1
799,799,a2,b1,c1,d4,l2
800,800,a2,b2,c2,d2,l1
801,801,a1,b1,c3,d4,l1
802,802,a1,b1,c2,d4,l2
803,803,a1,b2,c1,d3,l1
804,804,a2,b2,c3,d1,l2
805,805,a1,b2,c1,d3,l3
806,806,a1,b2,c2,d4,l3
807,807,a2,b1,c1,d2,l3
808,808,a2,b1,c3,d4,l2
809,809,a1,b2,c3,d3,l2
810,810,a1,b1,c3,d3,l3
811,811,a1,b2,c2,d2,l2
812,812,a2,b1,c3,d4,l1
813,813,a1,b2,c3,d4,l1
814,814,a1,b2,c3,d1,l2
815,815,a2,b1,c2,d4,l2
816,816,a1,b1,c2,d2,l3
817,817,a2,b2,c1,d1,l2
818,818,a1,b2,c2,d3,l2
819,819,a2,b2,c2,d4,l1
820,820,a1,b2,c3,d2,l2
821,821,a2,b2,c2,d1,l3
822,822,a1,b2,c1,d2,l2
823,823,a2,b1,c3,d3,l2
824,824,a2,b1,c3,d1,l3
825,825,a1,b2,c1,d1,l2
826,826,a1,b2,c2,d1,l1
827,827,a1,b2,c1,d1,l3
828,828,a1,b1,c2,d4,l2
829,829,a1,b2,c2,d4,l2
830,830,a2,b1,c3,d4,l1
831,831,a1,b2,c1,d3,l3
832,832,a1,b1,c3,d1,l3
833,833,a1,b1,c3,d2,l1
834,834,a1,b1,c1,d4,l1
835,835,a2,b2,c3,d1,l2
836,836,a1,b2,c2,d4,l3
837,837,a1,b1,c2,d4,l1
838,838,a2,b1,c2,d4,l2
839,839,a2,b1,c2,d1,l2
840,840,a2,b1,c1,d3,l3
841,841,a2,b1,c2,d1,l3
842,842,a1,b1,c1,d1,l1
843,843,a1,b2,c1,d3,l1
844,844,a1,b1,c1,d3,l1
845,845,a1,b2,c3,d3,l2
846,846,a1,b2,c2,d2,l3
847,847,a2,b2,c1,d3,l2
848,848,a2,b1,c1,d1,l1
849,849,a1,b1,c3,d3,l3
850,850,a1,b2,c3,d2,l3
851,851,a2,b2,c2,d3,l1
852,852,a1,b1,c1,d2,l1
853,853,a1,b1,c3,d2,l1
854,854,a2,b2,c1,d1,l1
855,855,a1,b1,c1,d1,l3
856,856,a1,b1,c3,d4,l3
857,857,a2,b1,c2,d2,l1
858,858,a1,b2,c2,d3,l1
859,859,a1,b2,c1,d4,l2
860,860,a1,b2,c2,d1,l3
861,861,a1,b1,c3,d2,l3
862,862,a1,b1,c1,d4,l3
863,863,a2,b2,c2,d2,l1
864,864,a1,b2,c2,d3,l3
865,865,a1,b1,c3,d3,l2
866,866,a2,b1,c3,d1,l2
867,867,a2,b2,c1,d1,l1
868,868,a2,b2,c1,d4,l3
869,869,a1,b2,c1,d1,l3
870,870,a1,b1,c3,d3,l3
871,871,a2,b1,c1,d4,l2
872,872,a1,b2,c3,d1,l3
873,873,a2,b2,c1,d4,l1
874,874,a2,b2,c1,d1,l1
875,875,a2,b2,c3,d4,l3
876,876,a1,b1,c1,d4,l2
877,877,a1,b1,c1,d4,l2
878,878,a2,b2,c1,d2,l3
879,879,a2,b1,c3,d3,l1
880,880,a1,b2,c2,d4,l1
881,881,a1,b2,c3,d4,l1
882,882,a1,b2,c3,d1,l3
883,883,a2,b1,c3,d3,l3
884,884,a2,b1,c2,d1,l1
885,885,a2,b2,c3,d4,l2
886,886,a1,b2,c1,d1,l2
887,887,a2,b1,c3,d3,l2
888,888,a1,b2,c1,d4,l2
889,889,a1,b2,c3,d4,l2
890,890,a2,b2,c2,d4,l1
891,891,a1,b2,c1,d1,l3
892,892,a2,b1,c1,d2,l3
893,893,a2,b2,c1,d4,l3
894,894,a2,b2,c3,d3,l3
895,895,a1,b1,c1,d4,l3
896,896,a1,b1,c1,d1,l2
897,897,a2,b2,c2,d4,l3
898,898,a2,b1,c2,d1,l2
899,899,a1,b2,c2,d3,l2
900,900,a1,b2,c2,d1,l3
901,901,a2,b1,c2,d2,l1
902,902,a1,b1,c2,d4,l1
903,903,a2,b1,c2,d3,l2
904,904,a2,b2,c2,d4,l1
905,905,a1,b1,c2,d3,l2
906,906,a1,b1,c3,d4,l2
907,907,a1,b2,c1,d3,l1
908,908,a2,b2,c3,d2,l1
909,909,a2,b1,c3,d4,l3
910,910,a1,b2,c2,d2,l1
911,911,a1,b1,c3,d3,l2
912,912,a2,b2,c3,d2,l2
913,913,a2,b2,c3,d3,l3
914,914,a1,b2,c2,d1,l1
915,915,a2,b1,c3,d3,l2
916,916,a1,b1,c2,d3,l1
917,917,a2,b1,c3,d2,l3
918,918,a2,b1,c3,d1,l3
919,919,a2,b1,c2,d3,l1
920,920,a2,b2,c1,d2,l2
921,921,a1,b1,c3,d1,l2
922,922,a2,b1,c1,d4,l3
923,923,a2,b2,c3,d4,l3
924,924,a2,b2,c1,d1,l1
925,925,a2,b1,c2,d3,l3
926,926,a1,b2,c2,d1,l1
927,927,a2,b1,c1,d4,l3
928,928,a2,b1,c1,d2,l2
929,929,a2,b1,c3,d2,l1
930,930,a2,b2,c1,d3,l2
931,931,a2,b2,c2,d1,l1
932,932,a2,b1,c2,d3,l2
933,933,a1,b2,c2,d3,l1
934,934,a2,b1,c2,d1,l2
935,935,a1,b1,c1,d2,l1
936,936,a2,b1,c2,d2,l2
937,937,a2,b1,c1,d3,l1
938,938,a1,b1,c2,d3,l1
939,939,a1,b2,c2,d2,l3
940,940,a2,b1,c2,d3,l3
941,941,a2,b1,c3,d3,l2
942,942,a2,b2,c3,d1,l2
943,943,a1,b1,c1,d3,l3
944,944,a1,b1,c1,d1,l3
945,945,a2,b1,c2,d3,l3
946,946,a1,b2,c3,d2,l1
947,947,a2,b1,c3,d1,l2
948,948,a1,b2,c3,d4,l3
949,949,a1,b1,c1,d2,l1
950,950,a2,b2,c2,d2,l2
951,951,a2,b1,c2,d3,l2
952,952,a1,b1,c1,d2,l2
953,953,a2,b1,c1,d3,l3
954,954,a2,b2,c2,d3,l2
955,955,a2,b2,c3,d2,l3
956,956,a2,b2,c1,d1,l3
957,957,a2,b1,c2,d2,l1
958,958,a1,b1,c2,d4,l3
959,959,a1,b1,c3,d3,l3
960,960,a2,b2,c2,d2,l2
961,961,a1,b2,c2,d3,l2
962,962,a1,b2,c3,d3,l3
963,963,a1,b2,c3,d1,l3
964,964,a2,b1,c3,d3,l3
965,965,a2,b1,c1,d2,l1
966,966,a1,b2,c2,d4,l3
967,967,a1,b2,c1,d4,l2
968,968,a1,b2,c1,d2,l3
969,969,a2,b2,c3,d1,l2
970,970,a2,b2,c1,d2,l3
971,971,a1,b1,c1,d3,l2
972,972,a2,b2,c1,d4,l2
973,973,a2,b1,c1,d4,l1
974,974,a1,b2,c2,d3,l1
975,975,a2,b2,c1,d4,l2
976,976,a1,b1,c1,d1,l2
977,977,a2,b1,c3,d1,l3
978,978,a2,b2,c2,d3,l1
979,979,a1,b1,c1,d3,l2
980,980,a1,b2,c3,d4,l2
981,981,a2,b1,c2,d1,l2
982,982,a2,b2,c2,d1,l3
983,983,a2,b2,c3,d1,l2
984,984,a2,b1,c2,d2,l3
985,985,a1,b1,c3,d2,l3
986,986,a2,b2,c3,d2,l1
987,987,a2,b1,c1,d4,l3
988,988,a1,b1,c3,d4,l2
989,989,a1,b2,c1,d3,l2
990,990,a1,b2,c1,d1,l1
991,991,a1,b1,c1,d2,l3
992,992,a2,b2,c1,d4,l2
993,993,a1,b2,c1,d1,l2
994,994,a2,b1,c2,d3,l1
995,995,a2,b1,c1,d2,l1
996,996,a1,b1,c2,d2,l3
997,997,a1,b1,c3,d2,l2
998,998,a2,b2,c2,d1,l3
999,999,a2,b2,c1,d1,l3
